bank_name,assessment,sources,num_sources
Silicon Valley Bank,Insufficient filing data available for RAG assessment.,[],0
Signature Bank,Insufficient filing data available for RAG assessment.,[],0
First Republic Bank,Insufficient filing data available for RAG assessment.,[],0
Silvergate Capital,Insufficient filing data available for RAG assessment.,[],0
PacWest Bancorp,"TOP RISKS:
1. **Credit Risk**: The bank's focus on relationship-based business banking to small, middle-market, and venture-backed businesses nationwide may expose it to credit risk, particularly if these businesses experience financial difficulties.
2. **Interest Rate Risk**: The bank's reliance on tax-exempt interest on certain loans and investment securities may make it vulnerable to changes in interest rates, which could impact its net interest income.
3. **Operational Risk**: The bank's use of variable interest entities (VIEs) and trust preferred securities (TruPS) may increase its operational risk, particularly if these instruments are not properly managed.

LIQUIDITY ASSESSMENT: The bank's liquidity position appears to be relatively stable, as it has maintained a consistent number of full-service branches and has not disclosed any significant liquidity concerns.

WARNING LANGUAGE: Notable hedging/uncertainty terms found include ""relationship-based business banking,"" ""credit risk,"" and ""operational risk,"" which suggest that the bank is aware of potential risks and is taking steps to mitigate them.

FRAGILITY RATING: MODERATE

REASONING: The bank's focus on relationship-based business banking and its reliance on tax-exempt interest on certain loans and investment securities may expose it to credit and interest rate risk, respectively. However, the bank's liquidity position appears to be stable, and it has taken steps to mitigate operational risk. Overall, the bank's fragility rating is moderate, indicating that it is vulnerable to certain risks but has taken steps to manage them.","[{'section': 'MD&A', 'year': '2019', 'preview': 'to tax-exempt interest on certain loans and municipal securities FASB Financial Accounting Standards Board Tax Equivalent NIM NIM adjusted for tax equ'}, {'section': 'MD&A', 'year': '2020', 'preview': 'FDIC Federal Deposit Insurance Corporation TDRs Troubled Debt Restructurings FDICIA Federal Deposit Insurance Corporation Improvement Act TRSAs Time-B'}, {'section': 'MD&A', 'year': '2022', 'preview': 'adjustments related to tax-exempt interest on certain loans and investment securities FASB Financial Accounting Standards Board TDRs Troubled Debt Res'}, {'section': 'MD&A', 'year': '2021', 'preview': 'NIM NIM reflecting adjustments related to tax-exempt interest on certain loans and investment securities FDIC Federal Deposit Insurance Corporation TC'}, {'section': 'MD&A', 'year': '2023', 'preview': 'sales of assets other than loans and leases) Tax Equivalent NIM NIM reflecting adjustments related to tax-exempt interest on certain loans and investm'}]",5
Western Alliance Bancorporation,"TOP RISKS:
1. Failure to repurchase Convertible Notes at the required time, leading to acceleration of outstanding indebtedness and potential default under the Second Amended Credit Agreement.
2. Risks associated with acquisitions and investments, including potential failure to achieve expected benefits, unanticipated expenses, and regulatory and compliance risks.
3. Highly competitive and rapidly changing markets for the bank's products and services, which may prevent the bank from competing effectively and maintaining its market share.

LIQUIDITY ASSESSMENT: The bank's liquidity position appears to be somewhat constrained, as it has pledged substantially all of its tangible and intangible property as collateral under the Second Amended Credit Agreement, and may not have or be able to obtain sufficient funds to make accelerated payments in the event of default.

WARNING LANGUAGE: Notable hedging and uncertainty terms found include ""may,"" ""could,"" ""would,"" and ""may not,"" which suggest that the bank is aware of potential risks and uncertainties that could impact its business and financial condition.

FRAGILITY RATING: ELEVATED

REASONING: The bank's elevated fragility rating is due to the presence of significant risks, including the risk of default under the Second Amended Credit Agreement, the risks associated with acquisitions and investments, and the highly competitive and rapidly changing markets for its products and services. Additionally, the bank's liquidity position appears to be somewhat constrained, which could exacerbate these risks in the event of a default or other adverse event.","[{'section': 'Risk Factors', 'year': '2020', 'preview': 'of the London Interbank Offered Rate (LIBOR”) after 2021 and the replacement with an alternative reference rate may adversely impact interest rates; a'}, {'section': 'Risk Factors', 'year': '2020', 'preview': 'Our business, financial condition, operating results and stock price can be materially and adversely affected by a number of factors, whether currentl'}, {'section': 'Risk Factors', 'year': '2020', 'preview': 'and Health Grid. We expect that we will continue to make such investments and acquisitions in the future. Our investments and acquisitions involve num'}, {'section': 'Risk Factors', 'year': '2020', 'preview': 'have enough available cash or be able to obtain financing at the time we are required to make such repurchases of the Convertible Notes. Our failure t'}, {'section': 'Risk Factors', 'year': '2021', 'preview': 'notes to be repurchased, plus accrued and unpaid interest, if any. However, we may not have enough available cash or be able to obtain financing at th'}, {'section': 'Risk Factors', 'year': '2021', 'preview': 'materially and adversely impact our business, financial condition and operating results. Finally, if we finance acquisitions or investments by issuing'}]",6
Zions Bancorporation,"TOP RISKS:
1. Interest rate risk: The bank is exposed to interest rate risk due to its significant loan and investment portfolios, which can be negatively affected by changes in the prevailing interest rate environment.
2. Credit risk: The bank is exposed to credit risk due to the potential for lower demand for loans, higher credit losses, and lower fee income in adverse economic conditions.
3. Operational risk: The bank is exposed to operational risk due to catastrophic events such as natural disasters, pandemics, and system failures that can disrupt its operations and affect its financial condition.

LIQUIDITY ASSESSMENT: The bank appears to have a relatively stable liquidity position, with a loan-to-deposit ratio of 78% and a decrease in larger-balance and more rate-sensitive deposits. However, the bank's reliance on non-operating deposits and its efforts to manage its funding costs suggest that liquidity remains a concern.

WARNING LANGUAGE: The bank mentions ""no certainty"" that it will achieve the expected benefits from its strategic projects, ""significant variability"" in projections, and ""unfavorable"" market developments that may require it to raise capital at unfavorable terms.

FRAGILITY RATING: ELEVATED

REASONING: The bank's exposure to interest rate risk, credit risk, and operational risk, combined with its relatively stable but still uncertain liquidity position, suggests that it is vulnerable to significant disruptions in the financial markets and economy. While the bank has taken steps to manage its risk, the potential for adverse economic conditions and operational disruptions remains a concern.","[{'section': 'MD&A', 'year': '2022', 'preview': 'to the “Interest Rate and Market Risk Management” section on page 57 for more information on how we manage interest rate risk, and the “Liquidity Risk'}, {'section': 'MD&A', 'year': '2022', 'preview': 'on page 48 in MD&A. 12 Table of Con tents ZIONS BANCORPORATION, NATIONAL ASSOCIATION Market and Interest Rate Risk We could be negatively affected by '}, {'section': 'MD&A', 'year': '2022', 'preview': 'Bank; combining the legal charters of our seven affiliate banks into one; consolidating 15 loan operations sites into two; replacing our core loan sys'}, {'section': 'MD&A', 'year': '2023', 'preview': 'increased headcount. • An increase of $1.4 billion, or 2%, in average interest-earning assets, driven by growth in average securities and average loan'}, {'section': 'MD&A', 'year': '2022', 'preview': 'yield on loans decreased 33 bps. The yield on securities decreased 42 bps, primarily due to lower yields on re-investment of principal payments and ot'}, {'section': 'MD&A', 'year': '2023', 'preview': 'our dividends or other capital distributions to shareholders, modify our business strategies, or decrease our exposure to various asset classes. Under'}]",6
Comerica,Insufficient filing data available for RAG assessment.,[],0
KeyCorp,"TOP RISKS:
1. Market risk due to potential economic downturn, recessionary conditions, and volatile market conditions.
2. Liquidity risk due to potential rating downgrades, increased cost of funds, and decreased access to capital markets.
3. Regulatory risk due to potential changes in capital requirements, stress testing, and liquidity reporting requirements.

LIQUIDITY ASSESSMENT: KeyCorp appears to have a relatively stable liquidity position, with a liquidity buffer sufficient to meet projected net stressed cash-flow needs over a 30-day planning horizon. However, the bank's reliance on short-term wholesale funding and its potential exposure to rating downgrades and increased cost of funds may pose some liquidity risks.

WARNING LANGUAGE: Notable hedging/uncertainty terms found include ""may,"" ""could,"" ""would,"" and ""could negatively affect,"" indicating potential risks and uncertainties associated with the bank's business and financial performance.

FRAGILITY RATING: MODERATE

REASONING: KeyCorp's liquidity position appears relatively stable, but the bank's exposure to market and regulatory risks, particularly in the context of a potential economic downturn or rating downgrade, suggests a moderate level of fragility. The bank's reliance on short-term wholesale funding and its potential exposure to increased cost of funds also contribute to this assessment.","[{'section': 'Risk Factors', 'year': '2026', 'preview': 'KeyBank are Category IV banking organizations that have average weighted short-term wholesale funding of less than $50 billion. However, Category IV B'}, {'section': 'Risk Factors', 'year': '2025', 'preview': 'banking organizations with $100 billion or more in total consolidated assets and applied tailored regulatory requirements to each respective category.'}, {'section': 'Risk Factors', 'year': '2026', 'preview': 'Equity Tier 1 capital ratio requirement of 4.5% and capital buffers to absorb losses during periods of financial stress while allowing an institution '}, {'section': 'Risk Factors', 'year': '2020', 'preview': 'of funds and may not be available under stressed conditions, which would cause us to liquidate a portion of our liquid asset portfolio to meet any fun'}, {'section': 'Risk Factors', 'year': '2021', 'preview': 'are based on a number of factors, including our financial strength, ability to generate earnings, and other factors. Some of these factors are not ent'}, {'section': 'Risk Factors', 'year': '2022', 'preview': 'more unstable and illiquid. As clients use deposit balances to fund their businesses, this may put funding pressure on Key, which may cause us to leve'}]",6
U.S. Bancorp,"TOP RISKS:
1. **Changes to statutes, regulations, or regulatory policies or practices**: This risk is mentioned in all three filings, indicating a high level of concern from the company. Changes in regulatory policies can have a significant impact on the bank's operations and profitability.
2. **Continued deterioration in general business and economic conditions or turbulence in domestic or global financial markets**: This risk is also mentioned in all three filings, highlighting the bank's exposure to economic downturns and market volatility.
3. **Deterioration in the credit quality of its loan portfolios or in the value of the collateral securing those loans**: This risk is mentioned in the 2022 filing, indicating a concern about the bank's loan portfolios and potential losses.

LIQUIDITY ASSESSMENT: The bank appears to have a strong liquidity position, with consolidated deposits of $465 billion, $522.2 billion, and $518.3 billion at December 31, 2021, 2025, and 2024, respectively. This suggests that the bank has sufficient funds to meet its short-term obligations.

WARNING LANGUAGE: The filings contain several warning language, including ""Factors other than these risks also could adversely affect U.S. Bancorp's results"", ""Readers are cautioned not to place undue reliance on any forward-looking statements"", and ""The ultimate extent of the impacts on its business, financial position, results of operations, liquidity, and prospects is uncertain"".

FRAGILITY RATING: MODERATE

REASONING: While the bank appears to have a strong liquidity position, the top risks identified are significant and could have a material impact on the bank's operations and profitability. The warning language and uncertainty surrounding the COVID-19 pandemic and economic conditions also contribute to a moderate fragility rating.","[{'section': 'Risk Factors', 'year': '2022', 'preview': 'Risk Profile” on pages 35 to 56 and “Risk Factors” on pages 137 to 150 of the 2021 Annual Report. In addition, factors other than these risks also cou'}, {'section': 'Risk Factors', 'year': '2026', 'preview': '” of the 2025 Annual Report. Factors other than these risks also could adversely affect U.S. Bancorp’s results, and the reader should not consider the'}, {'section': 'Risk Factors', 'year': '2025', 'preview': '” of the 2024 Annual Report. Factors other than these risks also could adversely affect U.S. Bancorp’s results, and the reader should not consider the'}, {'section': 'Risk Factors', 'year': '2022', 'preview': '” in the 2021 Annual Report, which could cause actual results to differ materially from those anticipated. The COVID-19 pandemic is adversely affectin'}]",4
