bank_name,liquidity_risk,leverage_risk,interest_rate_risk,deposit_flight_risk,textual_stress,overall_fragility,confidence,key_concern,reasoning,failed
Citizens Financial Group,8,9,8,2,5,8.5,MEDIUM,Citizens Financial Group's high debt-to-equity ratio and low interest coverage ratio indicate significant structural fragility.,"The bank's liquidity ratio of 0.6933 is below the threshold for a well-capitalized bank, and its debt-to-equity ratio of 9.99 is above the threshold for elevated fragility. Additionally, the interest coverage ratio of 0.03 indicates a high risk of interest rate stress. However, the uninsured deposit ratio of 0.0732 is below the threshold for deposit flight risk, and no textual stress indicators are provided.",False
Fifth Third Bancorp,5,7,6,4,5,6.0,MEDIUM,High leverage ratio and moderate interest rate risk indicate structural concerns.,"The bank's liquidity ratio of 0.4260 is below the 0.5 threshold, indicating some liquidity risk. The debt-to-equity ratio of 9.09 is high, but not extremely high, indicating leverage risk. The interest coverage ratio of 1.83 is below 10, indicating some interest rate risk. However, the uninsured deposit ratio of 0.4781 is below 20%, indicating low deposit flight risk. The absence of textual stress language suggests a relatively stable risk environment.",False
First Horizon,8,9,8,5,5,8.0,MEDIUM,High leverage and low liquidity ratios indicate significant structural fragility.,"The bank's liquidity ratio of 0.2350 is below the threshold for a score of 8-9, indicating a high risk of liquidity shortages. Additionally, the debt-to-equity ratio of 11.18 is above the threshold for a score of 8-9, indicating high leverage. The interest coverage ratio of 1.38 is also below the threshold for a score of 8-9, indicating a high risk of interest rate shocks.",False
First Republic Bank,4,8,8,3,5,7.0,MEDIUM,High leverage and interest rate risk are major concerns for First Republic Bank.,"The bank's debt-to-equity ratio of 11.95 indicates high leverage, while the interest coverage ratio of 0.88 suggests vulnerability to interest rate fluctuations. Although the liquidity ratio is relatively stable, it is below the 0.5 threshold, indicating some liquidity concerns. The uninsured deposit ratio is below 20%, which is a positive sign.",True
Heartland BancCorp,5,8,3,4,5,7.0,MEDIUM,High leverage ratio and moderate liquidity ratio indicate structural fragility.,"The debt-to-equity ratio of 15.81 is above the threshold for high leverage risk, while the liquidity ratio of 0.6282 is below the threshold for low liquidity risk. The interest coverage ratio of 2.98 indicates manageable interest expenses, but the loan-to-deposit ratio of 0.3707 suggests a relatively low loan-to-deposit ratio, which may indicate a conservative lending strategy. The uninsured deposit ratio of 0.2673 is below the threshold for high deposit flight risk, but the core deposit ratio of 0.9422 is high, indicating a strong core deposit base.",False
Huntington Bancshares,6,8,7,5,5,7.0,MEDIUM,Huntington Bancshares' high debt-to-equity ratio and moderate liquidity ratio raise concerns about its structural fragility.,"The bank's debt-to-equity ratio of 9.48 is above the 8 threshold, indicating elevated leverage risk. Additionally, the liquidity ratio of 0.3322 is below the 0.5 threshold, suggesting some liquidity concerns. However, the bank's interest coverage ratio of 1.72 and core deposit ratio of 0.9430 are relatively strong, mitigating some of these concerns.",False
KeyCorp,4,8,8,4,2,7.0,MEDIUM,"High leverage and interest rate risk, despite strong core deposit ratio.","KeyCorp's liquidity ratio of 0.3877 indicates a moderate level of liquidity risk. However, the debt-to-equity ratio of 11.57 is high, indicating significant leverage risk. The interest coverage ratio of 1.13 suggests a high interest rate risk. On the other hand, the core deposit ratio of 0.9481 indicates a strong deposit base. The risk factors excerpt does not indicate significant textual stress. Overall, these factors suggest a moderate to high level of fragility.",False
M&T Bank,8,8,8,3,5,8.0,MEDIUM,M&T Bank's low liquidity ratio and high debt-to-equity ratio indicate potential structural fragility.,"The liquidity ratio of 0.2480 is below the 0.2 threshold, suggesting a high risk of liquidity shortages. Additionally, the debt-to-equity ratio of 10.14 is above the 8 threshold, indicating a high leverage risk. However, the interest coverage ratio of 2.81 is below the 3 threshold, but not extremely low. The uninsured deposit ratio of 0.2127 is below the 20% threshold, indicating a relatively low deposit flight risk. The absence of non-performing assets suggests a low credit risk.",False
PacWest Bancorp,8,8,8,2,5,8.0,MEDIUM,PacWest Bancorp's low liquidity ratio and high debt-to-equity ratio indicate significant structural fragility.,"The liquidity ratio of 0.1211 is below 0.2, indicating a high liquidity risk. The debt-to-equity ratio of 7.20 is also high, indicating a leverage risk. However, the interest coverage ratio of 1.98 is low, indicating an interest rate risk. The uninsured deposit ratio of 0.0996 is relatively low, indicating a low deposit flight risk. The absence of textual stress language in the provided data limits our ability to assess this dimension.",False
Prosperity Bancshares,8,9,4,2,5,8.0,MEDIUM,High leverage and low liquidity ratios indicate significant structural fragility.,"The bank's liquidity ratio of 0.2290 and debt-to-equity ratio of 11.88 suggest a high risk of liquidity and leverage. While the interest coverage ratio is relatively stable, the low liquidity ratio and high leverage ratio outweigh this positive factor. The uninsured deposit ratio is low, indicating minimal deposit flight risk.",False
