bank_name,liquidity_risk,leverage_risk,interest_rate_risk,deposit_flight_risk,textual_stress,overall_fragility,confidence,key_concern,reasoning,failed
Citizens Financial Group,7,9,10,2,5,8,MEDIUM,The bank's extremely low interest coverage ratio of 0.03 indicates a high risk of inability to meet interest payments on its debt.,"The bank's high debt-to-equity ratio of 9.99 and low interest coverage ratio of 0.03 are significant concerns, while its liquidity ratio of 0.6933 is also below ideal levels, indicating potential structural fragility. The lack of textual data on risk factors limits the confidence in this assessment. The bank's low uninsured deposit ratio of 0.0732 is a positive factor, but it does not offset the other concerns.",False
Fifth Third Bancorp,7,8,6,5,5,7,MEDIUM,The bank's high debt-to-equity ratio of 9.09 indicates a significant leverage risk.,"The liquidity ratio of 0.4260 is relatively low, and the debt-to-equity ratio of 9.09 is high, indicating potential structural fragility. The interest coverage ratio of 1.83 is relatively low, but not alarmingly so. The lack of textual data on risk factors limits the confidence in this assessment.",False
First Horizon,8,9,8,5,5,8,MEDIUM,The bank's high debt-to-equity ratio of 11.18 indicates significant leverage risk.,"The liquidity ratio of 0.2350 is relatively low, and the interest coverage ratio of 1.38 is also low, indicating potential liquidity and interest rate risks. The bank's high leverage, as evidenced by the debt-to-equity ratio, is the most significant concern, as it may amplify losses in the event of an economic downturn. The lack of textual stress information and some missing data points, such as detailed loan portfolio composition, reduce the confidence in this assessment.",False
First Republic Bank,8,9,9,7,5,8,MEDIUM,The bank's high debt-to-equity ratio of 11.95 and low interest coverage ratio of 0.88 indicate significant structural fragility.,"The bank's liquidity ratio of 0.4544 is relatively low, and its high loan-to-deposit ratio of 1.6512 may exacerbate liquidity risks. The low interest coverage ratio suggests the bank may struggle to meet its interest obligations, and the high debt-to-equity ratio indicates a high level of leverage. Missing textual data on risk factors limits the confidence in this assessment.",True
Heartland BancCorp,7,9,6,5,5,7,LOW,The bank's high debt-to-equity ratio of 15.81 poses a significant structural risk to its financial stability.,"The bank's liquidity ratio of 0.6282 is relatively low, and its high leverage ratio of 15.81 indicates a significant reliance on debt financing, which increases the risk of default. However, the provided risk factors excerpt does not pertain to Heartland BancCorp, but rather SouthState Bank Corporation, which reduces the confidence in the assessment. The bank's interest coverage ratio of 2.98 and non-performing asset ratio of 0.0063 are relatively stable, but the high leverage ratio remains a major concern.",False
Huntington Bancshares,7,8,6,6,5,7,MEDIUM,"The bank's high debt-to-equity ratio of 9.48 indicates a significant leverage risk, which could exacerbate potential losses.","The liquidity ratio of 0.3322 is relatively low, and the interest coverage ratio of 1.72 is not overly concerning, but the high debt-to-equity ratio and moderate uninsured deposit ratio of 0.3213 are notable risks. The bank's overall fragility is moderate, with leverage risk being the primary concern. The confidence in this assessment is medium due to the lack of textual stress data and potential additional risk factors not captured in the provided financial ratios.",False
KeyCorp,8,9,9,6,4,8,MEDIUM,The bank's high debt-to-equity ratio and low interest coverage ratio pose significant structural risks to its financial stability.,"The liquidity ratio of 0.3877 is relatively low, indicating potential liquidity issues, and the debt-to-equity ratio of 11.57 is high, suggesting excessive leverage. The interest coverage ratio of 1.13 is also low, indicating potential difficulties in meeting interest payments. While the textual stress score is moderate, the overall fragility score is elevated due to these quantitative risks.",False
M&T Bank,8,9,6,6,5,7,MEDIUM,The bank's high debt-to-equity ratio of 10.14 indicates a significant leverage risk.,"The liquidity ratio of 0.2480 is relatively low, and the high debt-to-equity ratio of 10.14 suggests a high leverage risk. The interest coverage ratio of 2.81 and the loan-to-deposit ratio of 0.8889 are within reasonable ranges, but the uninsured deposit ratio of 0.2127 and the core deposit ratio of 0.7350 warrant some attention. The lack of textual data limits the analysis of textual stress.",False
PacWest Bancorp,8,9,6,4,5,7,MEDIUM,The bank's high debt-to-equity ratio of 7.20 indicates significant leverage risk.,"The liquidity ratio of 0.1211 is relatively low, indicating potential liquidity issues, and the debt-to-equity ratio of 7.20 is high, suggesting significant leverage risk. The interest coverage ratio of 1.98 is relatively low, but not alarmingly so. The lack of textual data limits the assessment of textual stress, reducing confidence in the overall fragility score.",False
Prosperity Bancshares,8,9,2,4,5,6,MEDIUM,The bank's high debt-to-equity ratio of 11.88 indicates a significant leverage risk.,"The bank's liquidity ratio of 0.2290 is relatively low, and the high debt-to-equity ratio of 11.88 suggests a high leverage risk. However, the interest coverage ratio of 4.64 and the low non-performing asset ratio of 0.0000 are positive indicators. The lack of textual stress data limits the confidence in this assessment.",False
Regions Financial,8,9,2,6,5,7,MEDIUM,The bank's high debt-to-equity ratio of 8.26 poses a significant structural risk to its financial stability.,"The bank's liquidity ratio of 0.2858 is relatively low, indicating a potential struggle to meet short-term obligations, and its high leverage ratio of 8.26 increases the risk of insolvency. Additionally, the uninsured deposit ratio of 0.3699 is notable, but the interest coverage ratio of 3.77 suggests manageable interest rate risk. The lack of textual stress information limits the analysis to numerical data.",False
Synovus Financial,8,9,7,4,5,7,MEDIUM,The bank's high debt-to-equity ratio of 20.57 indicates a significant leverage risk.,"The liquidity ratio of 0.3969 is relatively low, and the debt-to-equity ratio is high, suggesting potential structural fragility. The interest coverage ratio of 2.16 is also relatively low, which could indicate some interest rate risk. However, the lack of textual data and non-performing assets limits the confidence in this assessment.",False
Truist Financial,8,9,8,6,5,8,MEDIUM,"The bank's high debt-to-equity ratio of 8.09 indicates a significant leverage risk, which could exacerbate potential losses.","The liquidity ratio of 0.3733 is relatively low, and the interest coverage ratio of 1.67 is also concerning, but the primary risk stems from the high leverage, which could amplify potential losses. The bank's negative ROA and ROE further underscore the structural fragility. Missing data on risk factors language limits the textual stress assessment to a neutral score of 5.",False
U.S. Bancorp,6,8,7,5,4,6,MEDIUM,The bank's relatively high debt-to-equity ratio and low interest coverage ratio pose significant structural risks.,"The liquidity ratio of 0.4080 is relatively low, indicating potential liquidity issues, and the debt-to-equity ratio of 9.56 is high, suggesting significant leverage. Additionally, the interest coverage ratio of 1.53 is relatively low, indicating potential difficulties in meeting interest payments. However, the textual stress score is moderate, as the risk factors language is cautionary but does not indicate extreme uncertainty.",False
Webster Financial,8,9,9,2,5,8,MEDIUM,The bank's high debt-to-equity ratio and low interest coverage ratio pose significant structural risks to its financial stability.,"The debt-to-equity ratio of 9.22 indicates a high level of leverage, and the interest coverage ratio of 0.97 suggests that the bank may struggle to meet its interest payments. Additionally, the liquidity ratio of 0.5829 is relatively low, which could exacerbate the bank's vulnerability in times of stress. However, the low uninsured deposit ratio of 0.0388 mitigates some of this risk.",False
